product_parent,,customer_id,product_parent,star_rating,helpful_votes,vine,verified_purchase,total_votes,review_headline,review_body,review_date,review_rating,reivew_star_rating,review_num,verified_purchase_num,CPS
10036436,r1dsbmts3saib9,22875302,10036436,2,2,n,True,3,product needs improvement,"the gate is attractive and now functional for our smaller dogs.  easier to use than child gates.  reason for 2 stars is that although we like the look and the price was reasonable, it arrived with dented edges and one section's post broken/detached.  we decided to fix with real glue and new screws.  very flimsy and not constructed well.  would not buy another.",11/20/2013,4,3.0,1,1,-100.0
12142513,r1hhhe15rpxhfv,37013882,12142513,4,1,n,True,1,poor description,nice pacifiers that come with a carry strap the description says for older babies i though it would be good for my 8 month old but when they came they say 12 months and up on them so besides that a nice set,1/19/2013,4,4.0,1,1,0.0
12506064,r2b5f7lt64tga3,14745384,12506064,2,3,n,True,6,folding area was not working right,"i purchased two britax b-agile strollers for my baby and my sister's baby before she travels out of the town, the one i purchased is in red, the color is not as bright as pictures showed, i was ok with it; but on the day when she was going to leave, i opened the box, and got the brand new stroller out, the stroller lift to fold area was not working right. i have to push the button on the side, and wiggle the &#34;lift to fold&#34; string around. it was very stressful for her since she is traveling with a baby and two big suitcases. i couldn't return the stroller since she has to use it. we didn't expect this kind thing happen at all since britax is specifically advertised the easy lift to fold function. i have to say, qc department might have not inspected it 100%.<br />also, this stroller is definitely has some weight. don't expect it would be as light as umbrella stroller. if you want a light travelling stroller, umbrella stroller might be a better choice.",10/4/2013,3,3.0,1,1,-100.0
13588167,r2wmix00gh03hm,14382280,13588167,2,2,n,True,2,not good,"doesn't stay in baby's mouth, doesn't keep cold after taking it out of the freezer to help soothe gums, doesn't work and baby didn't like it.",7/6/2013,1,1.0,1,1,-100.0
13998191,r1tl99cbcr3r1h,17627530,13998191,5,6,n,True,7,has helped so much,my 7 mo baby boy wears this continuously except when bathing or sleeping.  this necklace has been a lifesaver while he's been teething. i know it works because one day after bathing him i forgot to put it on......after about 24 hours without it he was fussy....put the necklace back on & within a few hours he was fine.,7/22/2013,5,5.0,1,1,100.0
14166991,r1hhqeiqql3id4,46819495,14166991,5,0,N,True,0,Five Stars,Adorable!,5/18/2015,5,5.0,1,1,100.0
14485891,r1sao9xnj3soq2,15046694,14485891,2,1,n,True,1,badger basket safety harness a death trap,"architecturally speaking, this chair is beautiful. practically speaking, it's kind of a nightmare, particularly around the 5-point &#34;harness&#34; and its installation. the only time it kind of worked was when the attachment to the tray was installed. but it only works attached to the tray when the seat is on the highest rung, and our baby was lowered at 6 months because he's so tall. the straps fall out the back, they do not stay in place, and our baby was slipping down through the front and out the back while we were trying to just strap him in! death hazard right there if we weren't standing right over him. seriously. a baby could hang himself or asphyxiate if unattended with this ridiculously cheap, incredibly poorly designed basic safety feature. if you have an older child, it would be a great chair, but badger basket has nothing on stokke or svan, and it shows in the price. do not cheap out and save $50-200 by buying this one if it is the aesthetic &#34;look&#34; you want. otherwise, chicco makes some nice, easy to use, can always find the straps, adjustable high chairs with seats that tilt and washable covers. but they're basic and a lot less sleek.",3/10/2015,3,3.0,3,3,-33.33
14755905,rc4gyrk0cu9gq,34168751,14755905,5,1,n,True,1,i love using this bag,so much room and such style! i love using this bag. it holds all the essentials plus extras. i adore the stroller straps but worry about how heavy the bag may be...i will update as time goes on. so far the bag has held up perfect!,12/7/2014,5,5.0,1,1,100.0
14775442,r3p2gar8wsjw93,47657934,14775442,4,1,n,True,2,really nice crib and dresser,the crib is beautiful the only thing is you can see screws which is why i gave it a 4 star. it is very solid and easy to put together my dad put it together himself in under 2 hours and that was with pausing to take a break! the dresser is nice and sturdy. definitely can not wait to see my son in it.  what is also great is it included the toddler rail at no extra charge.<br /><br />would totally recommend.,3/14/2012,5,5.0,1,1,100.0
15769183,r2hyotojdcsdp4,28526965,15769183,2,3,n,True,4,needs a new design but good materials,nice bag and loved the fact it was made in usa big problem is the zipper. there is a gap between the end and the closure. i would not recommend this for anything that could spill crumbs or that could dry out.,12/7/2014,4,3.0,1,1,-100.0
16279205,r1zpeqx2x7g79j,14785329,16279205,5,2,n,True,2,amazing,not only does my 1 year old like this but me and my boyfriend do too.<br />i have nothing negative to say at all,7/6/2013,5,5.0,1,1,100.0
16648479,r2akfbv0yivkct,13767073,16648479,5,5,n,True,7,i'm in love.,"my daugher is 26 months old and still sleeps in her crib (which apparently is really unusual).  we had the traditional graco pack n play when she was younger to use while traveling.  since she's grown to 34 inches we've tried a tent, air mattress, etc only to have a rotten time on vacation because she wasn't sleeping well.  for our upcoming beach trip we planned to literally take apart her crib at our home and bring it with us!  enter the joovy playard.  as you know, a child as tall as my daughter doesn't fit in a regular sized pack n play.  but with the joovy, she has plenty of room.  i debated between the joovy room 2 ultralight but it is a square foot smaller and since every inch counts with us, we went with this one and i'm so glad i did.  she can lay side to side or diagonally if she wants more space.  the sides are not super tall (compared to a child her age) but she doesn't try to climb out.  i think she likes the comforting boundaries she is used to with the crib.  we are expecting another little one in july and this is the only pack n play we will need.  when the new baby is small, it can be used as a playard or sleeping area and will definitely last until their twos if needed.  if i had to do it all over again, i would just buy the joovy.  yeah, it's heavy but so is our other pack n play and it's not nearly as big.  great buy!  thanks joovy!",4/20/2013,5,5.0,1,1,100.0
17186986,r2nz28j87j0wf8,1571692,17186986,5,2,n,True,2,riding in comfort with all smiles,"i bought the britax roundabout for my 1 year old grandson. his father and mother were very impressed with the fit and safety rating. so impressed they ordered one, for one of their automobiles. grandson rides comfortable and happy.<br />thanks britax",8/28/2014,5,5.0,1,1,100.0
17201583,r3uy64pmm1ks04,43334680,17201583,5,1,n,True,1,used in our nicu,i work in an nicu and this is our favorite swing. it is given to our fussiest babies. the different options including some pretty fast motions and mimic a person. i feel it is does work like a person as these swings and being held by a person are what works best for the fussiest babies compared to more traditional swings. as an rn (like a mom) i can't carry the babies 24/7 so this swing works wonders. plus you can operate it with your feet if you have your hands full so that is helpful. haha.,6/26/2015,4,4.0,2,2,50.0
17576967,r232kgo5dsxac3,23189317,17576967,1,1,n,True,1,not happy,"i have had this highchair for a few months and wish i did more research before buying. the cover does not come off so you can't wash it and wiping it down is not enough. also, you need 2 hands to put the tray on. the tray usually doesn't allign right and takes some time to get it right. i thought the highchair came with a 5 point harness but does not. my baby slides and falls to the side while eating. this causes her discomfort since her arm gets all red from being pinned to the side or stuck hanging over the chair. wishing i bought another highchair 😕",5/3/2015,2,2.0,1,1,-100.0
18008442,rd0kyyy4vop84,45913994,18008442,5,1,n,True,2,these have been a life saver!!,"works great for my 15 month old, should have bought them sooner!! my son started refusing to be spoon fed at times but will take these pouches :) after a couple uses i find them easy to fill and clean and i love that i can feed my son healthy food that i have made. i hesitated to buy these and am so glad i did, they have paid for themselves in the few weeks we have been using them!",2/6/2014,5,5.0,2,2,100.0
18404333,rym6706ulinfs,12065127,18404333,4,11,n,True,14,great for safety.,good harness.  my 2 year old grandson didn't like it when we took him to mexico.  it was helpful in the airport and in between layovers to give him a chance to walk/run around at his pace.  .  it took me awhile to figure out the straps as the directions were lacking but i was able to find a youtube instruction page that helped a lot.,12/2/2014,5,5.0,1,1,100.0
19010570,rpm9rhxmm35wf,24715776,19010570,5,0,N,True,0,"... say had a message from Calofornia saying my grandson loved it, so thats good enough for me","all i can say had a message from Calofornia saying my grandson loved it ,so thats good enough for me",4/26/2015,5,5.0,3,3,100.0
19029223,r3biayu9tfnj31,31009752,19029223,5,1,n,True,1,top quality,happy baby now. thanks. great quality,5/26/2015,5,5.0,1,1,100.0
19619462,r11wreia7ox0yv,29288783,19619462,5,9,n,True,9,best bottles to date!,"we recently had our second child and used dr. browns exclusively with the first child. both of us were concerned with colic and too much gas in our son's stomach. for our second child we started using bebek. here are a few things i have noticed as a dad that makes a world of difference:<br /><br />1. the venting is identical - or at least we cant tell a difference -<br />2. less parts!!! i need to say that again...less parts!! for all you parents out there who have struggled putting together the dr browns pieces - there really is relief!<br />3. great bottle shape and more comfortable<br />4. fast feeding!! love this - dont get me wrong, i love to bond with my daughter while i feed her - but with other dr b it would take us at what felt like a very very long time!<br /><br />just my 2 cents!!",11/12/2012,5,5.0,1,1,100.0
19632877,r2tnkqc2cqcj22,14377377,19632877,1,1,n,True,1,static!!,"i spent so much time trying to place this monitor in a location where it doesn't play static. the amount of static varies based on whether it's plugged in (more static) or using battery power, where it's placed on the table, and whether or not you're touching it. it's so aggravating that i find myself relocating so i can hear my son myself rather than listen to the annoying static. i'm currently on the market for a new one.",1/3/2013,5,3.0,1,1,-100.0
20165375,r57q1qq6eluzr,23456382,20165375,5,1,n,True,1,really nice moitor!,it is just right for my needs to keep an ear on the kids. lasts good and battery works great!! it is clear and the volume switch is good.,3/13/2012,4,4.0,1,1,0.0
20354547,r3vqolf2q3f2f7,454655,20354547,5,5,n,True,5,keeps clothes dry,i love the minky for the price it is worth it no leaks no rashes ( super diligent on changing diapers often) does the job well without being ultra pricey,8/15/2015,5,5.0,2,2,50.0
21145682,r3v3z0258ph9p4,33882536,21145682,3,1,n,True,2,very firm on both sides,"wow - just like the other reviews have stated this bed is like sleeping on a sheet of plywood.  there appears to be no difference between the baby side and the toddler side, they are both as firm as a sidewalk .",7/31/2015,5,4.0,1,1,0.0
21803708,R2KQ0K1I67QNXL,48232622,21803708,5,0,N,True,0,We love the giraffe,We have used these for all 3 of our children! We love the giraffe.  Very prompt delivery after a not so good transaction with another seller. Thanks!,8/1/2015,5,5.0,23,22,65.22
22060147,r30quz7g3in36s,27724665,22060147,1,2,n,True,2,got a different one than what i order,"i order this one, but they send me a different one and i hate it. this is the one they send me, the sassy-polka dots<br /><br />[[asin:b00cq5zi22 sassy polka dots teething feeder]]<br /><br />so in my review of this sassy-polka dot one, i do not like it. the top or cap does not have the 'filler' that keeps whatever you put in the net cool. also, it's a pain to get it open to put fruit in or to take it open to wash. you have to squeeze the 2 sides while turning it in counterclockwise to open it. it is so difficult and i just hate it. can't get a refund coz i opened it.",11/30/2013,4,3.0,1,1,-100.0
22189989,r3iw5z7jcfnzw,21321677,22189989,4,1,n,True,1,"accurate, but annoyingly slow.","this thermometer is accurate, but it takes a very long time to finish, and there is no beep to let you know it has finished taking your temperature.  to get around this annoyance, i put the thermometer in when my alarm goes off and hit snooze for 10 minutes.  when the alarm comes on again, i check the temperature and record it.  hopefully 10 minutes is a long enough time for it to reach the peak temperature!",11/30/2013,2,3.0,1,1,-100.0
22472066,rhd2xc7c8ce4d,39716858,22472066,5,3,n,True,3,this is perfect. makes putting 3 kids in the back row ...,i was looking for a slim high back booster for my 3rd row seating. this is perfect. makes putting 3 kids in the back row much easier.,9/21/2014,5,5.0,1,1,100.0
22566216,r2g5s6yz8puf3w,13703129,22566216,5,8,n,True,10,the spill spoiler works!,"i ordered a set of the regular spill spoiler caps at the same time as i ordered a set of the sport caps.  i am equally pleased with both, so this review mirrors my comments on the sport caps.<br /><br />i drink nutritional drinks and energy drinks in the car and at home, and have a tendency to be a klutz and spill whatever i am drinking in the car and on the furniture.  when i happened onto the spill spoiler ad, i  ordered a set of the regular caps and a set of the sport caps.<br /><br />up-front, i will say i was very pleased to see a listing of the types and brands of bottles each cap fits.  i didn’t have to wonder if the cap would fit my particular drink bottle.<br /><br />upon receipt of the caps, i immediately tried them and found they do exactly what the ad says.  unscrew the drink’s regular cap, screw on the spill spoiler cap, stick in a straw, and you are ready to go.  pull out the straw and the hole closes and your drink doesn’t spill.  at the end of the day (or whenever), just put the cap into the dishwasher and it is ready to go again.<br /><br />i am elated to have found the spill spoiler.  since i am not only klutzy, but also have been known to lose things, i am going to order another one or two sets of each cap.  they work. i recommend them to anyone who drinks and spills things, and that is everyone.",3/7/2013,5,5.0,1,1,100.0
23565656,r2zhkpw6uvgfmh,1374217,23565656,5,1,n,True,1,i installed it by myself and very easy. i love the material too,"the dresser has delivered faster than what they told me. i installed it by myself and very easy. i love the material too, i think the top and sides are made by real wood, they are thick and heavy. i was thinking to buy changing table but i decided to just put the changing table on top of this dresser, because the height is perfect to me, no need changing table anymore... safe money and space in the room for something else!",7/13/2014,5,5.0,2,2,100.0
23856065,r67t3r8u3py1s,51901996,23856065,5,1,n,True,1,... arrived 2-3 days after i ordered them and look great.,the ribbons arrived 2-3 days after i ordered them and look great.,7/6/2014,4,4.0,1,1,0.0
23962944,r27ul8gf1e3iyu,28724474,23962944,5,1,n,True,1,fits nuk only!,"have also other wide nipples (dr brown, avent, etc) but found this will not fit dr brown, but do 'kinda' work on avent--",1/8/2013,1,3.0,1,1,-100.0
24035633,rybjfcx0jqqex,49580650,24035633,4,2,n,True,2,great multi-purpose cloth,this is a great multi-purpose cloth.  uses include:  diapers:  i prefer other brands of cloth diapers but these work okay.  burp cloth:  these make great burp cloths.  they cover a larger area then traditional burp cloths and are very absorbent.    wash rag:  i use these to wash my son's face and hands after he eats.  they work great.  peekaboo:  my son loves playing peekaboo with these.  they're small enough and light enough that they're easy for him to pull on/off his face to play peekaboo with us.    cleaning rags:  once we're done using these for my son they'll make great cleaning rags.    the cloths start off very stiff and get softer as you wash them.  i would recommend washing them at least 3-4 times before you use them.  even after repeated washings they are still somewhat stiff.  the texture is closer to a washcloth then a blanket.,11/12/2011,5,5.0,1,1,100.0
24160750,R2N4UYQ6QLUWJ4,44494017,24160750,5,0,N,True,0,Love 'em,We love NUK because they seem to be the only style of pacifier that will stay in newborns mouths for more than 5 seconds. I also love that they come in multiple sizes to grow with babies who have a hard time dropping the habit as newborns.,8/17/2015,5,5.0,26,26,19.23
24181145,r2ve304xh9qsji,48475049,24181145,1,1,N,True,3,Disappointing,"This was a very disappointing purchase. The swaddle material is WAY too flexible. It allowed my 10 lb 6 week old baby to maneuver his way out of it.  That should NOT happen with a baby this tiny and with such unintentional, immature movements. So, getting past that...the &#34;weights&#34; (sewn in bean bags like the little ones you toss) are awkwardly placed. I think if they would place Velcro on the inside and some velcro on a couple bean bags...it would work better. When you finally stretch out this material and get baby all wrapped up...you'll find the weights are in weirdo spots. It was a poor investment. On a positive note, I did buy a different wrap the Alden + Anais &#34;Easy Swaddle Blanket&#34;. Perfect Swaddle with a perfect fit. To sweeten the deal a little more...it's less expensive!",11/29/2014,1,1.0,1,1,-100.0
24429415,rcv7qz1y3xsx2,35832387,24429415,4,2,n,True,2,great swing!!,"our little boy loves staring at the hedgehog, and is slowly rocked to sleep. quietly rocks baby which is something we were looking for. the sounds are good, but wish there was more volume control. the only thing that keeps this from a five star is that the music isn't great. but we don't really use that feature anyway.",3/4/2015,4,4.0,2,2,-50.0
25512016,r3h2nmke9hpjr4,25497315,25512016,5,2,n,True,2,great diaper bag!,"well-made quality back pack! i love that i can have all my hands free with baby and all the supplies!  and i love my husband can take it and pack it and not feel weird about carrying a woman's purse--which is what a lot of diaper bags look like now. the two zipped pockets on the inside are nice and roomy. i am a breast feeding mom, there are more than enough compartments for keys, nursing supplies, changing supplies, sunglasses, and extra clothes for my son. i really love it. the quality of the bag is well made, just like the baby carrier. i love them both.",8/17/2013,5,5.0,1,1,100.0
25788262,r2u4wq27ebmhze,10206483,25788262,5,0,N,True,0,Five Stars,love it ...is very nice fast shipping is worth every penny ....,8/7/2014,5,5.0,3,3,33.33
26451756,r307dejjmlw6og,25464391,26451756,5,2,n,True,2,grandsons  dressing table. :),"i love how easily the drawers slide, and how much space there is to store the necessary items  one needs for the baby.  it arrived quickly, in good condition, and all the necessary parts were enclosed.  the only frustration was putting it together.  luckily my husband is very good at this sort of thing; however there were almost no instructions on the paper.  construction proved to be time consuming and difficult.  this wasn't the sellers fault.  the product once completed is attractive, and practical.",8/10/2014,5,5.0,1,1,100.0
26980212,rscmko0ek8lo3,15433583,26980212,5,5,n,True,5,"great product, great gift idea","this trendy clutch has been a huge find for me, as i've given a number of them to new moms in my family over the past year.  every time i have received rave feedback about the combination of style and functionality.  typically, you'll find one or the other, but not both in the same product.<br /><br />i strongly recommend this product - better give them as gifts before everyone has one of these beauties!  (oh, and love the new patterns as well.)",1/31/2013,5,5.0,1,1,100.0
27379547,R3E1WHZ4QY97ZQ,52436834,27379547,5,2,N,False,2,Life Saver,"After having a C-section, I was concerned how I was going to handle running up and down stairs to accomodate our newborn daughters sleeping/changing needs.   <br /> <br />We decided to set up the Colby pack and play downstairs and have not moved it since (our daughter is 3 months old).   She loves taking naps in this and it is convenient when I am doing things on the first floor.  The changing station is wonderful and has made our lives so much easier.  We no longer have to stop what we're doing and run up stairs for every diaper change.   <br /> <br />Must admit- the music (sounds) and vibration option are rather gimmicky.  We never use these features.  Also, we took it upon ourselves to add our own mobile on the side of the unit- this provides added entertainment for our daughter while we are busy making dinner or fixing her bottle.  <br /> <br />Though she will be nearing the weight limit soon for the changing unit and bassinet features, we plan to leave it in our living room.  It has truly helped us out and I would definitely put on my top 5 list!! <br /> <br />",4/7/2005,5,5.0,1,0,100.0
27596885,r1yj58qpigco1m,10671486,27596885,3,2,n,True,2,this is beautiful. however,"for the price,  this is beautiful. however,  it is not nearly as large as i anticipated and yet despite its small size it's an i credible amount of pieces to put together. the manufacturer their to save paper and therefor put every limb and piece of limb separately to jigsaw them on a few pieces. they easily could have made it never by putting larger pieces of the tree together on a page and the little leaves and animals on a separate page. we figured it out but there while every piece was labeled with a number there was no completed numbered diagram to show where the numbers went. the biggest dissapointment though is that the pieces are see through even though that is not displayed in  the images online. if you put an owl in front of a piece of tree the tree shows through the owl and it's ugly. i got around this by chance going up. the scene but you can't set it  up as they did. their image is digitally enhanced.",4/14/2015,5,4.0,1,1,0.0
27599661,r2ntosd1kq4ovn,2488674,27599661,4,4,n,True,6,checks off every want on our list...,"we like it so much we bought two. surelatch technology is worth the extra $$  we originally purchased the lx edition. very difficult to get a secure fit in the car. this car seat installs quickly and easily- a huge benefit to this mom who frequently takes the car seat in and out for work. peace of mind that it is installed securely.<br /><br />material is durable. not as bad as many make it seem to take the cover off to wash. my daughter got sick in hers in the first week and it washed nicely.<br /><br /> she is very comfortable in the rear facing position. sleeps easily though her head does fall forward sometimes. everyone else in the car has space too. we have a new jeep cherokee (not the biggest suv) but my husband and i have ample leg room on the driver and passenger side alike. we can recline the passenger seat back for longer car rides.<br /><br />most importantly, exceeds safety standards and made in the usa designed in our home state, ohio.",3/28/2015,5,5.0,1,1,100.0
28435092,RNG6UA952IQMN,2425333,28435092,5,0,N,True,0,The Best!,We love MAM in this house! I've used them exclusively with 3 kids now! Best out there!,8/26/2015,5,5.0,49,49,77.55
28861561,r3b51zx2y96hos,19480108,28861561,4,4,n,True,4,great seat! (if it fits!),"i was thrilled to find a seat that i could use for my 4 year old! i felt very uneasy about putting her in a booster, because, even though it's legal, it's not as safe as a harness!! the fact that this seat is so narrow is a great thing for me because i drive a very small car and need to save room where i can! i have had great customer service from sunshine kids reguarding this seat. my emails have been returned promtly and my question have all been answered.  i will say that i only gave it 4 stars because i have not been able to install it in every car i have tried. so please be sure you buy from somewhere you can return it, just in case!",7/11/2007,5,5.0,1,1,100.0
29181116,r761137l30wj4,12144805,29181116,5,3,n,True,3,great for camping,"i first got this product to go camping and keep up with potty training my toddler. i loved how compact it is, so i bought more of them to take anywhere (it is great to use in public bathrooms).",4/20/2013,5,5.0,1,1,100.0
29445486,r276djd5ej39dt,23055627,29445486,3,1,n,True,1,"met expectations, but a few annoyances.","the gate is very solid. the installation is straightforward, but i ran into a couple of issues - if you have quarter-round or other detailed molding right at the ground, you'll need to remove some of it to get the bracket to mount properly. the gate can compensate for having baseboard, but the bottom bracket sits right on the floor and mounts to the wall, so you need a flat surface on your wall/doorway at the bottom. i suspect this isn't a problem for most doorways, but mine was going in an entry way that had quarter round. a couple of minutes with a chisel took care of it, but i will have to repair my molding once i remove the gate. despite measuring, leveling, etc,. i have a problem with the gate easily closing. it seems like the gate door is slightly out-of-plane with the rest of the unit. i'm sure the gate works perfectly in houses with perfectly square walls and careful installation, but i think the latches need to provide a bit more slop. as it is, i need to use care (or sometimes two hands) to get the door to align and close properly. the gate is very nice compared to the expandable wood type (specifically if you need something that will stand up to a baby playing around it), but if i need another in the future, i'll be looking for one with a better latching system and a wider door opening.",6/18/2015,3,3.0,2,2,-50.0
29518077,rnriup12oqtnr,47959817,29518077,5,0,N,True,0,Love it,"Very practical on sunny day and the system work well, a bit sort but I am Happy",9/26/2010,1,3.0,1,1,-100.0
29783646,r1bfkeppk8bqfi,17312736,29783646,4,1,n,True,1,works good,it works great very satisfied with it. i just wish it didn't fall so easily. if u forget you have them on and walk around the house chances are they are getting lost. that happened to me and in desperation i ordered another one and now i found the lost one and have 2 pairs or well.,11/25/2012,4,4.0,1,1,0.0
29833239,r2xth9qo92v0g8,13483001,29833239,5,1,n,True,1,sofie is one of the best teethers ever,sofie is one of the best teethers ever! my grandson loves it! it's a great gift for a baby shower or just a gift for what ever. this is the 4th one that i have bought and will continue buying them! they are a hit for teething babies!!,8/25/2014,5,5.0,3,3,0.0
31035992,R2RZ5GK4HXL49B,13675454,31035992,5,0,N,True,0,Five Stars,Bought as a gift an the mom was Happy!,2/6/2015,5,5.0,1,1,100.0
31256937,R1CTJ6KPBOO1AA,14455463,31256937,3,0,N,True,0,Three Stars,Grand baby did not like them.,2/6/2015,1,2.0,2,2,0.0
31367869,r2mspuj3sp6y22,11528646,31367869,3,1,n,True,1,not very absorbent.,2 stars for adorable diapers and very easy to use. they really weren't as absorbaet as i had hoped.. the microfiber is a little bit of a pain. i did all of the prep work and they still didn't work well for me...i hope you have better luck if you decide to go with these.,12/29/2014,4,4.0,1,1,0.0
31834047,rvwsz9n5pl9g4,287134,31834047,5,1,n,True,1,extra base,love it now my mom has a base for her car.,5/25/2015,5,5.0,1,1,100.0
32051425,r35ifvb3ilp53s,39472464,32051425,5,238,n,True,260,"used correctly, this seat is perfect!","i've been reading the reviews about people putting their babies in this in the rocking position, and that's entirely too early for this feature to be used.  the rocker part is for when the child is old enough to reach the floor with his/her own legs.  you wouldn't put a child in an adult rocking chair and you shouldn't use the rocking feature of this chair for babies either.  it's for the toddler stage.  i've had this rocker for 6+ years and none of my 3 children have ever fallen out because they've never been put in by themselves in the rocker mode.",4/1/2006,5,5.0,3,2,66.67
32145562,r105by9hikeual,16936388,32145562,5,1,n,True,1,"great fit, excellent product!","i love these pj's! they are very cute, thin like a t-shirt, and stretchy enough they can be worn longer than a typical garment. you will not be dissatisfied.     as for the zipper, it does stick a little at first, but after a few washings its just fine. i have not seen pj's like this bigger than 9 mos, so i was thrilled these go up to 24 mos.     ps. shipping takes forever!",8/9/2008,4,4.0,1,1,0.0
33280098,R1DWYYC1QWV7PJ,14563904,33280098,5,0,N,True,0,We love our Mam pacis!,"These pacifiers are gorgeous! I know that sounds silly but they really are. They are sparkly which is fantastic for anyones little princess. I thought these were really cute in the picture but they are even better in person. These are by far my favorite pacifiers just for the pictures on them alone. All of the pacifiers we have in our house for our kiddos are Mam. We have tried many other pacifiers and none compare as far as quality, cuteness and the fact that my kids preferred them.",8/26/2015,5,5.0,17,17,35.29
34163325,r2mvzqmnchc9nw,27731795,34163325,2,1,n,True,1,got worse and worse,"want to buy a different baby monitor.  i bought because got good ratings, cheap, & one of the few monitors that came with 2 parent units.  had for 3 months now.  live in a 3 floor condo complex and it just got more and more static lately.  noticed differences when turn certain lights on or charging cell phones.  no good.  it's starting to wake us up b/c of static noise changes throughout night.  it picks up noise well though and i like the fact that it has the light indicator for noise.  i also like that it has option of ac or rechargeable battery.  but i would not recommend to another person.     update: 5/10/2010  not sure if it had to do with new tenants moving in or another baby moving in next door so they had a baby monitor too or more wireless things we bought or what...but it was causing huge static/interference on the parent units that sounds like old radios. we could hear other people sometimes too. we could still hear the baby when he cries but it was with the static in background.  the static was just so annoying at night and we would just turn the unit off sometimes.  living in an older condo too, i'm sure the other tenants (who are elderly people) had same frequency electronics that makes it worse.  but we just gave in after 5 months of bearing with the static and bought this philips one, we're happy with our buy so far even without 2 parent units. not a big deal to just bring the parent unit with us.",12/10/2009,4,3.0,2,2,0.0
