product_parent,,customer_id,product_parent,star_rating,helpful_votes,vine,verified_purchase,total_votes,review_headline,review_body,review_date,review_body_length,review_rating,reivew_star_rating,review_num,verified_purchase_num,CPS
68100320,R2FC15JPG20W1V,41773476,68100320,4,4,N,True,4,It really does feel velvety,"after washing your hands with this soap. Even though I rinse my hands thoroughly, they sill feel really soft and velvety after drying. In the couple weeks since switching to this soap my hands have never felt better. I have somewhat dry skin and most soaps really irritate my skin and I try to rinse well to prevent itchiness. I've found that not only do I not have to rinse very long but I rarely get itchy anymore and I love the smell of tea tree oils, which was what persuaded me to get this to begin with.",2/26/2011,509,4,4.0,1,1,0.0
68816102,RAF578VW3GGX5,44928398,68816102,5,1,N,True,3,All In One Choice,"Instead of choosing among the four options, I decided to buy the big pony Collection Coffret so I could have then all at once.",7/2/2011,126,5,5.0,1,1,100.0
71698270,R3G4L88TLM4O4K,41218428,71698270,3,14,N,True,17,Everything as it says,"However, I would have prefered a more diverse group of piks.  I bought my husband a waterpik for christmas (which he loved).  I wanted to get a set for myself, but this one only has 3 types (none really as cool as his) and dups of all three. - It's a good beginner set I guess... but I will be searching for some of the better ones that came with his. I can't complain about quality - look closely at the piks - if you want two of each of the basics - this is pefect for you.",1/9/2012,475,3,3.0,1,1,-100.0
74202592,RQVAC7PUVCP45,50581233,74202592,3,5,N,True,5,too heavy,I had to work too hard to have this absorb and I don't think ou should have to do that with an eye cream. another cream for my hands until its done,8/5/2010,147,3,3.0,1,1,-100.0
74735317,R1GFM41CZLHSFD,27831151,74735317,5,0,N,True,0,Good use. It's very compact,Good use. It's very compact. Make sure to buy plug head adapters because it is dual voltage use but you still need head adapters to fit the sockets abroad.,8/8/2015,155,4,4.0,93,92,23.66
77898021,R215FZH0XWBGAT,29752273,77898021,5,9,N,True,11,great stuff,"If you love vanilla, you will love this essential oil! I'm glad I bought this",8/5/2010,77,5,5.0,1,1,100.0
80193353,RKQI401ECD2O6,12152715,80193353,1,4,N,True,6,Too Faced Lip Injection Extreme,The real sham!!   Save you money!!   Nothing but slick goo on the lips.   NO PLUMPING!!,8/5/2010,87,1,1.0,1,1,-100.0
84440271,R3BQA2VTZMZJY4,17313014,84440271,4,0,N,True,0,Works good.,"I am really fair skinned and this the only stuff that does not make my legs turn orange. I find it only lasts a few days for me though, because I shower twice a day. At least it helps me to keep from blinding people on the beach with my whiteness....",8/5/2010,250,4,4.0,1,1,0.0
91277457,R14GCMFKBT2QRZ,12407118,91277457,5,1,N,False,1,Best Face Cream Ever,"I purchased the Olay Complete Lotion for Sensitive Skin just looking for a light SPF hydrating lotion to wear under makeup that wouldn't totally ruin my skin like everything else. I have super sensitive, fair skin and am slightly acne prone and after trying what seemed like every sensitive product under the sun without success I was desperate ( even Cetaphil gives me ruddy/blemished skin for pete's sake!). So my dermatologist suggested I try this Olay lotion (she called it the oil of old lady cream ha) and to my delight this stuff worked wonders beyond my wildest dreams! This lotion not only was light, non-greasy and proved a great foundation for liquid and powder makeup, but miraculously smoothed my complexion and lightened/erased my post-blemish marks and general ruddiness. I have received so many compliments on my complexion since using this product it's amazing! I highly recommend this lotion to anyone looking for a complete protection and rejuvenation of the skin and at less than $12 a bottle, who could resist!?",3/11/2010,1032,5,5.0,1,0,100.0
98133587,R1ZODGW9DBWA2J,36172237,98133587,4,3,N,True,3,It really works :),"I have been using this product for a few months now, and it honestly does work. Just make sure you get the pimple ASAP. I always get some pimples during, ahem, that time of the month, and it really is annoying, because I normally dont get any at all. Even if you have a big pimple, this will reduce it. It gets a tiny bit painful towards the end when its really hot, but not so painful that I have to remove it. It does leave my fair skin a little red, so I have my concealer ready. It does work,k better than creams and such.",8/5/2010,526,4,4.0,1,1,0.0
99665579,R1AVAJNCC72V69,32067891,99665579,5,2,N,True,2,"CAME QUICKLY ENOUGH, GREAT QUALITY","IF YOU WANT QUALITY FOUNDATION YOU'RE GOING TO HAVE TO PAY FOR IT. I BOUUGHT A PHYSICIAN'S FORMULA FOUNDATION AND WOW, WHAT CRAP THAT WAS, THEIR SPONGE THEY SELL WITH THE COMPACT WON'T EVEN FIT IN THEIR COMPACT.          BUT THIS GABRIEL COMPACT IS GREAT, THE FOUNDATION IS SUPERB.",7/2/2011,281,5,5.0,1,1,100.0
107341965,RUS78OBC4S1PH,12022882,107341965,2,0,N,True,0,Two Stars,Just does not get hot enough,7/24/2015,28,2,2.0,34,34,17.65
108191918,R31WIE2F87KPV3,13106119,108191918,4,0,N,True,0,Four Stars,Bought it for my daughter - Works great  and she likes it.,7/24/2015,58,4,4.0,47,38,34.04
109106777,R1VFE2X5RAPWZ,11232010,109106777,4,0,N,True,0,Four Stars,god product,8/18/2015,11,4,4.0,196,187,39.29
110935305,R155I3RT91UW9F,11702098,110935305,5,0,N,True,0,great product love it,I work outside and in Indiana in the winter time it gets relly cold. Your hands take a beating and dry up. I use this to prevent my hands from bleeding. I love this product and would recommmend to anyone.,1/9/2012,204,5,5.0,1,1,100.0
112413045,R2WG0TQM42NW2V,10502284,112413045,2,4,N,True,5,Not so Great,"I was optimistic after reading the mostly positive reviews, however I was highly disappointed.  If you don't apply the product several times in heavy coats you don't taste anything and it needs to be reapplied frequently (at least daily).  Also, while using the product it seemed that the taste would happen several seconds after going to bite my nails which made it rather ineffective as a control mechanism.  And when eating or drinking anything if you just so happen to touch or lick anywhere near your nail it gives your food what seems to be a more bitter and effective bad taste compared to your nails themselves.  I started to use a similar nail polish product but did not like the shine and how frequently it needed to be applied but it was much more effective and much cheaper as well.  I suggest the nail polish over this product.",5/7/2010,840,2,2.0,1,1,-100.0
115264052,R3IDTR3RGNMO9J,22673693,115264052,5,5,N,True,5,More than a foot balm,"Bought this item for my husband who is on his feet 24/7 and has difficult toenails and a sore ankle.  Applying the balm to his ankle definitely seemed to improve blood circulation as the pain diminished and the 'black and blue' appearance also normalized.  I figured I would try it on my extremely dry skin - even on my face after a day working in the backyard.  It was very soothing and not greasy at all.  Dry, dead skin that I couldn't even see flaked off and fine lines are smoother.  I will definitely recommend this - easier to use than Euciren - and goes a long, long way.",8/5/2010,579,5,5.0,1,1,100.0
115819190,R3GMZZEN6792K9,44535735,115819190,5,0,N,True,0,Best Shave Ever!!,"This is a marvelous shave!! Nothing else that I have ever used is anywhere near as comfortable! Use it with a Gel Lather and you will never ever again feel the discomfort of Razor Burn no matter how hard you work, or workout, and prespire...EveR!!!",8/5/2010,248,5,5.0,2,2,0.0
116499320,R2E07RKJL43MG9,34188926,116499320,5,1,N,False,1,One word: WOW,"So, I thought that the cheap and average brush I had worked well -Until I got this brush! I applied my bronzer/blush with it and I looked practically flawless. I was shocked at how bad I have been looking compared to the coverage and effect this brush does. I would say it is almost worth the price, but luckily I got mine for far cheaper on a different site.  This is a really great brush and I will seriously cry if anything happens to it hahaha",8/5/2010,447,5,5.0,1,0,100.0
120006468,R2E36XB8Y44VBD,11838095,120006468,4,7,N,True,7,"Clean & Effective, Lovely Finish","I'm always afraid of product being greasy and/or clogging my skin.  With Moisture Surge, there's no fear of that.  It smoothes on easily,  is instantly absorbed, and leaves a lovely surface for applying   makeup or (if in neck area) just feeling soft and enriched.    I use my fingertips for application and they are also left completely  dry in mere seconds, so no searching for a rag or tissue to mop off   excess... there simply isn't any need.  You can immediately put the  top back on the tube to save it from drying out.  Having moderate skin, I can only guess that someone with excessively   dry dermis might not find this sufficiently moisturizing.  Also just a   guess:  the younger you are, the less you probably need.  I'm not a   spring chicken and I find a little does go quite a way.  There is no odor and no wetness left a few seconds after application.   Just lovely feeling skin.  I wish I could afford a larger size, as this is   not inexpensive (my rationale for 4 of 5 stars only).  Oh, and one final   trick for this or any product: always, but always, feather upwards from   chest to chin - don't give gravity any more help than it naturally has!",7/2/2011,1168,4,4.0,1,1,0.0
121009604,R114HQIEBBAOV9,11482982,121009604,5,0,N,True,0,Great dryer! All you need!,Does the job at an unbeatable price! I have very thick Romanian long straight hair and this dries my hair well and pretty fast. Great product and would buy again if I had to.,7/24/2015,174,5,5.0,30,30,20.0
122140779,R31M7EJT4TMHFX,16187795,122140779,5,0,N,True,0,Five Stars,It gets the job done!,8/10/2015,21,5,5.0,45,42,28.89
123368118,R186Y32D5AO3N6,17220005,123368118,5,2,N,True,3,Great Product,"I have achieved healthy-looking non-frizzy hair by rubbing this oil over my hands and cuticles, and then running my hands through my hair. A little of this stuff goes a long way. I also love that this product has no fragrance- it is practically odorless, which makes it ok to use around my chemically sensitive mother. Its a great product. Would buy it again.",8/5/2010,359,5,5.0,1,1,100.0
123890676,RYTW2VBD9GH93,51754999,123890676,5,4,N,True,4,Fantastic,"Not much can be said about a product that is pretty perfect in every respect. I have been using this toothbrush for almost two years now and cannot imagine ever going back to hand brushing. There is such a marked difference between this and hand-brushing that you can literally feel. My teeth have never felt cleaner and my gums have never been healthier. While I used to have pretty bad dental hygiene habits (I used to brush only about two times a day) this toothbrush has helped me improve me regimen tremendously. The results have been nothing short of miraculous. <br /> <br />I take this toothbrush everywhere I can and the charge tends to last several days before recharging is needed. At any rate, I suppose the only shortcoming of this toothbrush lies in the problems encountered when traveling a lot: The base station is simply too bulky to conveniently pack away and take with you. While this is not an issue on shorter trips, travelling in excess of a week will make you scramble for an alternative travel toothbrush. If this toothbrush came with a smaller travel charger, it would indeed be absolutely perfect.",4/15/2007,1123,5,5.0,1,1,100.0
127343313,R1EESPDTO6C4EE,31047016,127343313,5,0,N,True,0,Five Stars,Great blow dryer !!!!,8/22/2015,21,5,5.0,246,236,16.67
127431946,RH1COQMQTTTQK,14693093,127431946,3,1,Y,False,1,"Dries my thick, wavy hair quickly and thoroughly","I've owned like 3 or 4 blow driers in my time. I'm not so good about consistently using them because I'm lazy. Well, I also know how harsh blow-drying can be on hair (particularly colored like mine), so I tend to avoid it. But every so often (more so in the winter), I find I need to dry my hair quickly instead of waiting. My last hair dryer died in a blaze of glory - well, actually it more or less fizzled and refused to turn on. So when this popped up in my Vine selection, I selected it.<br /><br />This Remington hair dryer comes with attachments - one, a diffuser, that looks like an alien product (apparently used for curly hair), and a funnel appendage that reminds me of an airplane wind tunnel. I don't have curly hair so I didn't bother with the diffuser (I really wish it had not been included because all it does it take up valuable drawer space), but I did test out the Wind Tunnel (much as I like pretending it's a wind tunnel for miniature airplanes, I would like to know, what is this thing called really?).<br /><br />I love all the settings! My last hair dryer pretty much had hi-lo, hot-cold and that was it. This has 3 heat settings and 2 speeds along with a cold blast setting, allowing for a more controlled drying experience. I found it really dried my thick, wavy hair well (another reason why I hate drying my hair - it usually takes 30 minutes for it to be all dry) and relatively quickly. The Wind Tunnel also helped to ensure nice, smooth, straight hair - the way I like to style my hair.<br /><br />Overall, I'm impressed and pleased. I wish that the diffuser hadn't been included because I have no need for it and the space it takes up BUT I know that those with curly hair may appreciate it.<br /><br />UPDATE 09/18/16: While I still like this product, I have since received a Bio Ionic from Vine, which I like more. The Remington's Cool Burst is far too easily activated when I am drying my hair, a problem I don't have with the Bio Ionic. Therefore, I am taking away 1-star to show this.<br /><br />Brought to you by:<br />*C.S. Light*y: *C.S. Light*",8/25/2015,2085,5,4.0,12,5,83.33
136242296,R3P359T90VQF35,16907888,136242296,4,0,N,True,0,Love it,Its awesome!! You just have to dab a little bit on your eyelid and rub it in  with your finger. I would recommend it to anyone :),2/26/2011,129,4,4.0,1,1,0.0
136395942,R1BEHKRNXUKYLF,29004740,136395942,5,0,N,True,0,Great seller. Great item.,"I had to get a second one because I was taking it to my dad's and bringing it back for my husband. Love these things. If you want a close trim without having to break out the old sharp razor (that usually makes you bleed), this is your trimmer. I use this on my dad's face. He has a very stiff beard.",2/26/2011,300,5,5.0,1,1,100.0
138665286,R1UW4UPNZR9SWU,49919466,138665286,4,2,N,True,2,Great!,My last penlet died pretty quickly. This one seems a lot more solid and has been working great. I hope it lasts a long time. I don't want to have to be buying a new one every few months.,8/5/2010,186,4,4.0,1,1,0.0
139712224,R25M7V9WCTRITJ,26582495,139712224,1,3,N,False,5,Disappointed!!,"I read all of the other reviews for this iron and thought it would be great.  I have used a Chi for about 8 years now (both the wide and the regular 1).  This iron did not compare to the Chi.  Even on a high heat setting, although it straightened my hair it did not get rid of all of the frizz like the Chi does.  Also, I only have to pass over my hair 2 times with the Chi, whereas with this iron I had to go over it 4 times or more and still did not get the same results.    This iron was also a lot more difficult (despite other reviews) to glide through the hair compared to the Chi, so it took a lot longer to do my hair with it between more passes and slower gliding.  This iron was no better than a discount store bought $40 iron to me.  Very disappointed!",2/26/2011,763,4,3.0,1,0,-100.0
142769920,R2QFBGARAND5IK,51153379,142769920,5,11,N,False,13,Does a great job!,I have used this product for 6 years. My hairdresser introduced me to it and I now use it at home. Its great for mustache areas and eyebrows. It grabs the fine hairs and doesnt let go. I highly recommend this!!,4/15/2007,210,5,5.0,1,0,100.0
145299155,R16T4XGHTP0CFE,31959722,145299155,5,1,N,True,1,Couldn't find these in stores,"With items like this, I think most of us are creatures of habit and prefer to use what we're used to using. If it's worked well for 45 years, that's a pretty good recommendation.  That's how I feel about these Revlon tweezers. Mine - which I've really had for about 45 years, I think, mysteriously disappeared recently.  Someday they'll probably just as mysteriously reappear.  In the meantime, I couldn't find a replacement, have never been able to use the flat-edged ones, and was reluctant to spend a lot of money on expensive tweezers that get somewhat mixed reviews.  Since the latter two categories were the only types I could find in my local stores, I was glad to find the Revlon tweezers here.  And you know what? As I'm sitting here typing this, it occurs to me that, now that I know these are the real deal, I'd be a fool not to go ahead and order another pair, while they're still available, just in case my new ones disappear anytime within the next 45 years.  I think I'll do that!",7/2/2011,995,5,5.0,1,1,100.0
146044045,R1C09X7VE48CI4,32358129,146044045,2,0,N,True,0,Not as good as it looks,Looks great and presented excellent...  But- This Item must be turned off completely after each use near where  the unit was installed at the rear of the toliet near the floor!!   You and or your guests have to remember this.(Stated in the directions)   In Asia where these are very popular you do not have to turn the unit off after each use.  Mine leaks a little either in the open postion or closed postion while hanging on the wall!!!   I would say to look for a better unit before buying this one- I was very dissappointed in the quality.,8/5/2010,543,3,3.0,1,1,-100.0
146876385,R2D6IOIDRUAFMV,12597127,146876385,5,7,N,False,9,To Get Dark Ash Blonde,"This color is darker and more ash.<br />It will really eliminate brassy and gold tones, if you've had your hair lightened and are dissatisfied with brassiness.<br />If you don't like the result, it's simple to wash out. It is a temporary to semi-permanent color.<br />I love it,",2/26/2011,278,5,5.0,1,0,100.0
148315930,R25ZG98ZEW93HN,30236042,148315930,2,0,N,True,0,Not tear free kids shampoo,"product is nothing special, especially since most kids shampoos are tear free I was disappointed to find that it burned my 6 month old sons eyes.  Boo hoo.  Will not purchase again",7/2/2011,180,2,2.0,1,1,-100.0
148473228,R2ON6NYR7JGZB2,45011241,148473228,3,0,N,True,0,Mirror is REALL SMALL for the price but is actually FOGLESS,"I just got the mirror today, opened the box and to my surprise was a tiny little mirror. No where on Amazon did it say the mirror was actually only 6in x 5in, especially given the price. However the mirror does what it says and is fogless which is nice. The first time I used it I put water in the back and put it on the suction cups and within a minute it fell onto my toe. So i tried cleaning the area behind the suction cups with some soap and that helped and it didn't fall the second time. Given the price I would expect the mirror to be larger, but on the positive it is actually fogless.",8/5/2010,594,5,4.0,1,1,0.0
150444163,R22LIAKEG1HO4N,37621705,150444163,1,5,N,False,5,Unannounced formula change,"I have used Retro Daily Shampoo for a few years and was delighted with it, in particular because it contained no Sulfates. Unfortunately the Retro I received had a label New improved Formula on front and when I read the ingredients I discovered they have added Sulfates to the shampoo. I therefore had to return it and although the retrun experience was good  I was disappointed in the change in the product.",8/5/2010,408,1,1.0,1,0,-100.0
151198156,R1U93TCJPZR3K0,14758858,151198156,2,0,N,True,0,VERY strong smell,"I have tried several of the 100% pure lotions.  One common theme is that they all have a pretty strong scent.  This vanilla scent to me was completely overpowering.  Very, very strong - too much so though.<br /><br />As far as the lotion, it really is one of the few that is totally pure.  I love that.  But the lotion itself for me doesn't work as well as others.  It's fairly runny, and doesn't moisturize my skin very well.  I will not be purchasing this brand anymore because of that.",7/2/2011,488,5,4.0,1,1,0.0
153323910,R2CCC1GJQ4GCO1,34729827,153323910,5,1,N,True,1,Pleasantly surprised,"I've never used a pumice stone before so when I purchased this one and used it for the first time. I was pleasantly surprised at how it worked. My tootsies were soft on the bottom like they hadn't been all winter.<br /><br />I'm so glad I purchased this. Plus, the little string allows me to hang it with my loofah.",2/26/2011,315,5,5.0,1,1,100.0
153523919,R3GW9W5F258IE5,49782251,153523919,5,0,N,True,0,great travel hair dryer,perfect for air travel as is compact and fits in my cloth bag-love that it has the diffuser.,6/22/2015,92,5,5.0,44,43,27.27
156735178,R2TPO7NP5QILV5,49532406,156735178,1,5,N,True,11,did not work as i hoped,"i used the roller on a facail scar i have that i cover with makeup, it is not deep but im very self conscious of it. i used the roller on it as instrusted but found that it actually made the area rolled more scar like (red and leathery) i would not advise using this on scars.",3/11/2010,276,5,3.0,1,1,-100.0
157091897,RN4JHGK6ZD4R2,12267992,157091897,5,0,N,True,0,Good product,The product works as stated and much along the lines of other positive reviews. I have been using the product for about 3 months now and this is the first shower mirror that has been truly fogless. Filling the container with hot water is no hassle and it works great every time.,1/9/2012,278,5,5.0,1,1,100.0
159558982,RLG7010UV3T5U,33607563,159558982,4,0,N,True,0,Just finished my first self-haircut.,"I can't believe how easy this is.  I just finished my first haircut.  Took me maybe 10 minutes tops.  Did it entirely by myself, and I can't say there is any real difference between what I feel and see in the mirror from when the barber did it.  And no one else has noticed any difference or mentioned it. I always told my barber anyway not to shave over the ears and around the back - just at the bottom of my sideburns.    I am delighted I made this purchase.  I would not recommend this to anyone who has hair much longer than a crewcut, however.",8/5/2010,549,5,5.0,1,1,100.0
